EvseID,ChargingStationId,Accessibility,GeoCoordinates,City,Country,PostalCode,Street,ParkingSpot,ParkingFacility,DynamicInfoAvailable,IsOpen24Hours,LastUpdate,MaxCapacity,DynamicPowerLevel,EnergySource,ChargingFacility_power,ChargingFacility_powertype
CH*SWI*E10382,CH*SWI*E10382,Free publicly accessible,47.37545935 7.94404536,Lostorf,CHE,4654,Grundstrasse 1,,,true,True,2025-09-30T02:15:16.965Z,,,,20,DC
CH*SWI*E10382,CH*SWI*E10382,Free publicly accessible,47.37545935 7.94404536,Lostorf,CHE,4654,Grundstrasse 1,,,true,True,2025-09-30T02:15:16.965Z,,,,20,DC
CH*SWI*E10383,CH*SWI*E10382,Free publicly accessible,47.37545935 7.94404536,Lostorf,CHE,4654,Grundstrasse 1,,,true,True,2025-09-30T02:15:16.965Z,,,,22,AC_3_PHASE
CH*SWI*E262873,CH*SWI*E10382,Free publicly accessible,47.37545935 7.94404536,Lostorf,CHE,4654,Grundstrasse 1,,,true,True,2025-09-30T02:15:16.965Z,,,,,
CH*SWI*E262874,CH*SWI*E10382,Free publicly accessible,47.37545935 7.94404536,Lostorf,CHE,4654,Grundstrasse 1,,,true,True,2025-09-30T02:15:16.965Z,,,,,
CH*SWI*E262875,CH*SWI*E10382,Free publicly accessible,47.37545935 7.94404536,Lostorf,CHE,4654,Grundstrasse 1,,,true,True,2025-09-30T02:15:16.965Z,,,,,
CH*SWI*E262876,CH*SWI*E10382,Free publicly accessible,47.37545935 7.94404536,Lostorf,CHE,4654,Grundstrasse 1,,,true,True,2025-09-30T02:15:16.965Z,,,,,
CH*SWI*E262877,CH*SWI*E10382,Free publicly accessible,47.37545935 7.94404536,Lostorf,CHE,4654,Grundstrasse 1,,,true,True,2025-09-30T02:15:16.965Z,,,,,
CH*SWI*E262878,CH*SWI*E10382,Free publicly accessible,47.37545935 7.94404536,Lostorf,CHE,4654,Grundstrasse 1,,,true,True,2025-09-30T02:15:16.965Z,,,,,
CH*SWI*E262879,CH*SWI*E10382,Free publicly accessible,47.37545935 7.94404536,Lostorf,CHE,4654,Grundstrasse 1,,,true,True,2025-09-30T02:15:16.965Z,,,,,
CH*SWI*E262880,CH*SWI*E10382,Free publicly accessible,47.37545935 7.94404536,Lostorf,CHE,4654,Grundstrasse 1,,,true,True,2025-09-30T02:15:16.965Z,,,,,
CH*SWI*E262881,CH*SWI*E10382,Free publicly accessible,47.37545935 7.94404536,Lostorf,CHE,4654,Grundstrasse 1,,,true,True,2025-09-30T02:15:16.965Z,,,,,
CH*SWI*E262882,CH*SWI*E10382,Free publicly accessible,47.37545935 7.94404536,Lostorf,CHE,4654,Grundstrasse 1,,,true,True,2025-09-30T02:15:16.965Z,,,,22,AC_3_PHASE
CH*SWI*E10662,CH*SWI*E10662,Free publicly accessible,47.188216 7.401496,Grenchen,CHE,2540,Brühlstrasse 15,,,true,True,2025-09-30T02:15:16.969Z,,,,22,AC_3_PHASE
CH*SWI*E10663,CH*SWI*E10662,Free publicly accessible,47.188216 7.401496,Grenchen,CHE,2540,Brühlstrasse 15,,,true,True,2025-09-30T02:15:16.969Z,,,,22,AC_3_PHASE
CH*SWI*E233495,CH*SWI*E10760,Free publicly accessible,47.348979 8.717593,Uster,CHE,0,Zürichstrasse 2,,,true,True,2025-09-30T02:15:16.970Z,,,,22,AC_3_PHASE
CH*SWI*E233496,CH*SWI*E10760,Free publicly accessible,47.348979 8.717593,Uster,CHE,0,Zürichstrasse 2,,,true,True,2025-09-30T02:15:16.970Z,,,,22,AC_3_PHASE
CH*SWI*E11024,CH*SWI*E11024,Free publicly accessible,47.167236 8.104228,Sursee,CHE,6210,"Schellenrainstrasse 13,",,,true,True,2025-09-30T02:15:16.973Z,,,,22,AC_3_PHASE
CH*SWI*E11025,CH*SWI*E11024,Free publicly accessible,47.167236 8.104228,Sursee,CHE,6210,"Schellenrainstrasse 13,",,,true,True,2025-09-30T02:15:16.973Z,,,,22,AC_3_PHASE
CH*SWI*E112824,CH*SWI*E112824,Free publicly accessible,47.420278 8.503611,Zürich,CHE,0,Wehntalerstrasse,,,true,True,2025-09-30T02:15:16.973Z,,,,43,AC_3_PHASE
CH*SWI*E112825,CH*SWI*E112824,Free publicly accessible,47.420278 8.503611,Zürich,CHE,0,Wehntalerstrasse,,,true,True,2025-09-30T02:15:16.973Z,,,,50,DC
CH*SWI*E112825,CH*SWI*E112824,Free publicly accessible,47.420278 8.503611,Zürich,CHE,0,Wehntalerstrasse,,,true,True,2025-09-30T02:15:16.973Z,,,,50,DC
CH*SWI*E112932,CH*SWI*E112932,Free publicly accessible,47.17207188 8.51858611,Zug,CHE,0,Industriestrasse 14,,,true,True,2025-09-30T02:15:16.973Z,,,,22,AC_3_PHASE
CH*SWI*E112936,CH*SWI*E112932,Free publicly accessible,47.17207188 8.51858611,Zug,CHE,0,Industriestrasse 14,,,true,True,2025-09-30T02:15:16.973Z,,,,22,AC_3_PHASE
CH*SWI*E1123,CH*SWI*E1123,Free publicly accessible,47.72261 8.643419,Schafhausen,CHE,0,Schweizersbildstrasse 48,,,true,True,2025-09-30T02:15:16.973Z,,,,22,AC_3_PHASE
CH*SWI*E1123,CH*SWI*E1123,Free publicly accessible,47.72261 8.643419,Schafhausen,CHE,0,Schweizersbildstrasse 48,,,true,True,2025-09-30T02:15:16.973Z,,,,4,AC_1_PHASE
CH*SWI*E143125,CH*SWI*E1123,Free publicly accessible,47.72261 8.643419,Schafhausen,CHE,0,Schweizersbildstrasse 48,,,true,True,2025-09-30T02:15:16.973Z,,,,22,AC_3_PHASE
CH*SWI*E143126,CH*SWI*E1123,Free publicly accessible,47.72261 8.643419,Schafhausen,CHE,0,Schweizersbildstrasse 48,,,true,True,2025-09-30T02:15:16.973Z,,,,22,AC_3_PHASE
CH*SWI*E113447,CH*SWI*E113447,Free publicly accessible,47.190676 7.553462,Biberist,CHE,0,Aesplistrasse 1,,,true,True,2025-09-30T02:15:16.974Z,,,,22,AC_3_PHASE
CH*SWI*E113450,CH*SWI*E113447,Free publicly accessible,47.190676 7.553462,Biberist,CHE,0,Aesplistrasse 1,,,true,True,2025-09-30T02:15:16.974Z,,,,22,AC_3_PHASE
CH*SWI*E113521,CH*SWI*E113521,Free publicly accessible,46.423945 6.2549267,Vich,CHE,0,Chemin de la Bichette 4,,,true,True,2025-09-30T02:15:16.974Z,,,,22,AC_3_PHASE
CH*SWI*E113522,CH*SWI*E113521,Free publicly accessible,46.423945 6.2549267,Vich,CHE,0,Chemin de la Bichette 4,,,true,True,2025-09-30T02:15:16.974Z,,,,22,AC_3_PHASE
CH*SWI*E117145,CH*SWI*E113521,Free publicly accessible,46.423945 6.2549267,Vich,CHE,0,Chemin de la Bichette 4,,,true,True,2025-09-30T02:15:16.974Z,,,,22,AC_3_PHASE
CH*SWI*E117146,CH*SWI*E113521,Free publicly accessible,46.423945 6.2549267,Vich,CHE,0,Chemin de la Bichette 4,,,true,True,2025-09-30T02:15:16.974Z,,,,22,AC_3_PHASE
CH*SWI*E113519,CH*SWI*E113519,Free publicly accessible,46.353841 7.1501154,Les Diablerets,CHE,0,Route du Pillon 58,,,true,True,2025-09-30T02:15:16.974Z,,,,22,AC_3_PHASE
CH*SWI*E113520,CH*SWI*E113519,Free publicly accessible,46.353841 7.1501154,Les Diablerets,CHE,0,Route du Pillon 58,,,true,True,2025-09-30T02:15:16.974Z,,,,22,AC_3_PHASE
CH*SWI*E113532,CH*SWI*E113532,Free publicly accessible,47.139088 7.2473675,Biel,CHE,0,Nidaugasse 35,,,true,True,2025-09-30T02:15:16.974Z,,,,22,AC_3_PHASE
CH*SWI*E113533,CH*SWI*E113532,Free publicly accessible,47.139088 7.2473675,Biel,CHE,0,Nidaugasse 35,,,true,True,2025-09-30T02:15:16.974Z,,,,22,AC_3_PHASE
CH*SWI*E113543,CH*SWI*E113543,Free publicly accessible,46.950698 7.3927387,Bern,CHE,0,Kasparstrasse 7/9,,,true,True,2025-09-30T02:15:16.977Z,,,,22,AC_3_PHASE
CH*SWI*E125302,CH*SWI*E125302,Free publicly accessible,46.47786538 8.79768066,Locarno,CHE,0,Via alla basilica 17,,,true,True,2025-09-30T02:15:16.991Z,,,,11,AC_3_PHASE
CH*SWI*E122320,CH*SWI*E122320,Free publicly accessible,46.727515 7.627741,Gwatt Thun,CHE,0,Gwattstrasse,,,true,True,2025-09-30T02:15:16.983Z,,,,11,AC_3_PHASE
CH*SWI*E122347,CH*SWI*E122347,Free publicly accessible,46.504373 6.488969,Morges,CHE,0,Promenade du Petit-Bois 15  ,,,true,True,2025-09-30T02:15:16.983Z,,,,11,AC_3_PHASE
CH*SWI*E122322,CH*SWI*E122322,Free publicly accessible,46.245126 6.19333,Vésenaz,CHE,0,Chemin de la Bise 19,,,true,True,2025-09-30T02:15:16.983Z,,,,11,AC_3_PHASE
CH*SWI*E125078,CH*SWI*E125078,Free publicly accessible,46.30969345 6.94236665,Aigle,CHE,0,Chemin de la Biole 12,,,true,True,2025-09-30T02:15:16.991Z,,,,22,AC_3_PHASE
CH*SWI*E125081,CH*SWI*E125078,Free publicly accessible,46.30969345 6.94236665,Aigle,CHE,0,Chemin de la Biole 12,,,true,True,2025-09-30T02:15:16.991Z,,,,22,AC_3_PHASE
CH*SWI*E117129,CH*SWI*E117129,Free publicly accessible,46.921954 6.624749,Couvet,CHE,0,Près de la Porte,,,true,True,2025-09-30T02:15:16.978Z,,,,22,AC_3_PHASE
CH*SWI*E117130,CH*SWI*E117129,Free publicly accessible,46.921954 6.624749,Couvet,CHE,0,Près de la Porte,,,true,True,2025-09-30T02:15:16.978Z,,,,22,AC_3_PHASE
CH*SWI*E121753,CH*SWI*E117976,Free publicly accessible,46.15570824 8.77016474,Ascona,CHE,0,Via Collegio,,,true,True,2025-09-30T02:15:16.982Z,,,,22,AC_3_PHASE
CH*SWI*E121754,CH*SWI*E117976,Free publicly accessible,46.15570824 8.77016474,Ascona,CHE,0,Via Collegio,,,true,True,2025-09-30T02:15:16.982Z,,,,50,DC
CH*SWI*E121754,CH*SWI*E117976,Free publicly accessible,46.15570824 8.77016474,Ascona,CHE,0,Via Collegio,,,true,True,2025-09-30T02:15:16.982Z,,,,50,DC
CH*SWI*E258698,CH*SWI*E117289,Free publicly accessible,47.18588693 8.73684241,Null,CHE,0,,,,true,True,2025-09-30T02:15:16.978Z,,,,22,AC_3_PHASE
