"year_month","snapshot","n_evse","n_sites","n_facility_entries"
"2022-12","ch.bfe.ladestellen-elektromobilitaet_2022-12-28-08-00-04.json",9261,4412,12297
"2023-01","ch.bfe.ladestellen-elektromobilitaet_2023-01-14-08-00-04.json",9294,4434,12319
"2023-02","ch.bfe.ladestellen-elektromobilitaet_2023-02-12-08-00-04.json",9301,4467,12335
"2023-03","ch.bfe.ladestellen-elektromobilitaet_2023-03-29-08-00-02.json",11007,4982,13820
"2023-04","ch.bfe.ladestellen-elektromobilitaet_2023-04-30-08-00-02.json",10896,5117,13725
"2023-05","ch.bfe.ladestellen-elektromobilitaet_2023-05-30-08-00-01.json",11025,5212,13858
"2023-06","ch.bfe.ladestellen-elektromobilitaet_2023-06-26-08-00-02.json",11436,5363,14294
"2023-07","ch.bfe.ladestellen-elektromobilitaet_2023-07-28-08-00-02.json",11819,5543,14734
"2023-08","ch.bfe.ladestellen-elektromobilitaet_2023-08-29-08-00-02.json",11977,5592,14891
"2023-09","ch.bfe.ladestellen-elektromobilitaet_2023-09-30-08-00-02.json",12286,5710,15243
"2023-10","ch.bfe.ladestellen-elektromobilitaet_2023-10-30-08-00-02.json",12475,5813,15446
"2023-11","ch.bfe.ladestellen-elektromobilitaet_2023-11-18-08-00-02.json",12669,5899,15674
"2023-12","ch.bfe.ladestellen-elektromobilitaet_2023-12-30-08-00-02.json",12929,6025,15940
"2024-01","ch.bfe.ladestellen-elektromobilitaet_2024-01-05-08-00-02.json",12932,6025,15944
"2024-02","ch.bfe.ladestellen-elektromobilitaet_2024-02-25-08-00-02.json",13204,6200,16216
"2024-03","ch.bfe.ladestellen-elektromobilitaet_2024-03-31-08-00-02.json",13397,6325,16396
"2024-04","ch.bfe.ladestellen-elektromobilitaet_2024-04-28-08-00-02.json",13505,6363,16510
"2024-05","ch.bfe.ladestellen-elektromobilitaet_2024-05-16-08-00-02.json",13569,6358,16576
"2024-06","ch.bfe.ladestellen-elektromobilitaet_2024-06-06-08-00-02.json",13543,6369,16524
"2024-07","ch.bfe.ladestellen-elektromobilitaet_2024-07-23-08-00-03.json",13496,6432,16523
"2024-08","ch.bfe.ladestellen-elektromobilitaet_2024-08-18-08-00-02.json",14015,6603,16944
"2024-09","ch.bfe.ladestellen-elektromobilitaet_2024-09-29-08-00-02.json",12736,5226,15558
"2024-10","ch.bfe.ladestellen-elektromobilitaet_2024-10-31-08-00-02.json",14517,6641,17131
"2024-11","ch.bfe.ladestellen-elektromobilitaet_2024-11-30-08-00-02.json",14896,6818,17412
"2024-12","ch.bfe.ladestellen-elektromobilitaet_2024-12-30-08-00-02.json",15435,7031,17939
"2025-01","ch.bfe.ladestellen-elektromobilitaet_2025-01-31-08-00-02.json",15646,7114,18121
"2025-02","ch.bfe.ladestellen-elektromobilitaet_2025-02-20-08-00-02.json",15773,7149,18205
"2025-03","ch.bfe.ladestellen-elektromobilitaet_2025-03-29-08-00-02.json",15959,7313,18416
"2025-04","ch.bfe.ladestellen-elektromobilitaet_2025-04-28-08-00-03.json",16290,7444,18680
"2025-05","ch.bfe.ladestellen-elektromobilitaet_2025-05-12-08-00-02.json",16354,7461,18651
"2025-06","ch.bfe.ladestellen-elektromobilitaet_2025-06-30-08-00-02.json",16734,7712,18820
"2025-07","ch.bfe.ladestellen-elektromobilitaet_2025-07-24-08-00-02.json",17058,7874,19091
"2025-08","ch.bfe.ladestellen-elektromobilitaet_2025-08-31-08-00-02.json",17184,7964,19035
"2025-09","ch.bfe.ladestellen-elektromobilitaet_2025-09-18-08-00-02.json",16993,7997,18591
"2025-10","ch.bfe.ladestellen-elektromobilitaet_2025-10-31-08-00-02.json",17249,8061,17822
"2025-11","ch.bfe.ladestellen-elektromobilitaet_2025-11-04-08-00-03.json",17213,8052,17758
"2025-12","ch.bfe.ladestellen-elektromobilitaet_2025-12-28-08-00-02.json",17311,8246,17853
