"Hour","Cross-sectional","Mean-aggregated","Max-aggregated","Bootstrapped","Hierarchical bootstrap"
0,1.75,1.74,1.79,1.75,1.75
1,1.82,1.81,1.78,1.82,1.8
2,1.81,1.79,1.78,1.81,1.8
3,1.86,1.85,1.83,1.86,1.86
4,1.89,1.87,1.94,1.89,1.86
5,1.91,1.89,1.97,1.92,1.9
6,1.87,1.88,2.15,1.87,1.88
7,1.93,1.9,2.03,1.93,1.91
8,2.29,2.32,2.76,2.29,2.31
9,3.43,3.49,3.94,3.42,3.48
10,4.35,4.11,4.16,4.36,4.09
11,4.05,3.98,3.84,4.05,3.98
12,3.45,3.42,3.3,3.45,3.42
13,2.92,2.92,2.94,2.93,2.93
14,2.73,2.7,2.77,2.73,2.71
15,2.76,2.75,2.83,2.76,2.75
16,2.66,2.7,2.75,2.66,2.67
17,2.42,2.44,2.45,2.42,2.41
18,2.09,2.05,2.26,2.09,2.06
19,2.03,1.99,2.02,2.03,1.99
20,1.98,1.97,2.01,1.98,1.98
21,1.89,1.84,1.89,1.89,1.86
22,1.8,1.78,1.8,1.8,1.77
23,1.78,1.73,1.77,1.78,1.75
